gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD38,4.88093624412205,1.8106358146530745,0.8661053037036565,2.0905492749096424,0.036568486901354405,0.9998540768832193
PRKAR2B,1.9659776665619955,1.8403250629545442,0.7235114947275195,2.543601693083848,0.010971611478814692,0.9998540768832193
ITGA2B,2.081667848264518,2.900297075150642,0.9087848995696537,3.1914010416810945,0.0014158460303288854,0.5480156987978863
MYLIP,44.32786107236258,0.7529079622174513,0.3462215133369046,2.1746423408553595,0.029656928813678585,0.9998540768832193
PSMB1,149.6688204582118,0.27140848462975065,0.12432510034924846,2.183054619439857,0.029031787953341673,0.9998540768832193
ETV7,2.490073439514646,2.3220301351746664,1.0499621301477318,2.211537034052792,0.026998670256016374,0.9998540768832193
FUZ,2.531003364409348,1.2137655442379005,0.5996627424114294,2.024080301132223,0.0429618901069192,0.9998540768832193
PLAUR,3.5362236942397844,1.9117074727185726,0.6077346578979654,3.145628520398676,0.001657303612204332,0.6058365426835836
SH3YL1,33.6967565410365,-0.6548753581235,0.2774091247294231,-2.3606842736778995,0.018241253208789335,0.9998540768832193
MED17,20.787070046132328,-0.5007677912400861,0.23669139440753853,-2.1156991892060812,0.034370399586358416,0.9998540768832193
ARAP2,38.4873457524591,0.5003507059320668,0.2514110434489578,1.9901699585986936,0.04657221640012742,0.9998540768832193
SCML1,9.519516958349316,1.3995614073862157,0.6071717418873139,2.305050302630788,0.021163756349951764,0.9998540768832193
RCN1,5.477472721322709,0.8957339243245472,0.43685522487010237,2.0504136687180314,0.04032408046039628,0.9998540768832193
THOC3,26.1382433234676,-0.44627431167045445,0.2217804492028044,-2.0122346819776005,0.04419520415087429,0.9998540768832193
PLEKHA5,8.273789949072512,-1.042548204616476,0.43021222703885165,-2.4233346685479615,0.015378751687972942,0.9998540768832193
HHAT,2.4997861306407603,-1.166104887804177,0.574517459973256,-2.0297118347951684,0.04238583921394033,0.9998540768832193
SLC2A3,110.2090198546736,0.741568779742669,0.2655105942658171,2.792991299624919,0.005222309653968659,0.9432175642259936
MRPS35,28.6052925223336,0.4034718550777409,0.18953289411791208,2.128769557155252,0.03327333078173251,0.9998540768832193
CHI3L2,4.257541862324107,1.2442959182766904,0.6321431513106044,1.9683768078431714,0.04902469835049964,0.9998540768832193
