gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FGR,3.516585649368792,-1.2648936807687159,0.5834940564184156,-2.1677918855469507,0.03017452451131188,0.9998318099632417
COX10,0.9477259693842791,3.0448408872914117,1.345800028040469,2.2624764629592145,0.02366798144225352,0.9998318099632417
ELOA,2.782739369185883,1.1957778202906229,0.603076175433023,1.9827973131785979,0.04739007426903261,0.9998318099632417
TTC19,4.427220603298884,-1.0238400790923665,0.4796365719579404,-2.1346163719603677,0.03279235901943593,0.9998318099632417
TYROBP,20.55729143595209,-1.8483715004197745,0.7236802616917367,-2.554127282812528,0.01064543335635637,0.9998318099632417
BIRC3,13.945936478069608,0.6940162654361111,0.3534477115304955,1.963561349515857,0.049580983328590025,0.9998318099632417
POU2F2,11.85983536174938,-0.8748039702558013,0.4275077164222773,-2.046288140894515,0.04072802978940585,0.9998318099632417
UTS2,2.602787309764811,-1.601162605182505,0.6919833615221203,-2.313874428513006,0.02067461117588707,0.9998318099632417
MRPS35,3.1584956058674485,1.1082743424299992,0.5512012528979032,2.0106527998681463,0.04436214284251626,0.9998318099632417
CLEC2D,18.349027535088553,0.7334912892314063,0.3558592794106078,2.061183539870737,0.039285533257200904,0.9998318099632417
SREBF1,2.8081764357403753,1.775878816708207,0.838646280837109,2.117554035934653,0.0342128543891916,0.9998318099632417
RAB21,9.118613517740538,0.9506573624733712,0.4392940795220769,2.1640568511818414,0.030459986507361175,0.9998318099632417
COBLL1,6.4850757679223285,1.0096835259772252,0.4966734505951583,2.0328920838577798,0.04206342698718868,0.9998318099632417
ADD1,9.465290750745318,-0.8509284387018928,0.3175791323989969,-2.6794217626138352,0.0073749435566602675,0.9998318099632417
RGS1,9.76057507720107,1.9163101273883838,0.511793978101221,3.744299873355255,1.8089749740419502e-4,0.6672856435497244
ITGA6,2.7131598484363897,3.5662565018039434,1.7452642516850283,2.0433905629825238,0.041013790915081824,0.9998318099632417
FKBP5,4.134196186472925,1.6152425908560188,0.7171707904200747,2.252242579358131,0.02430694660324533,0.9998318099632417
NFKBIA,58.09972920059305,1.0029806223965814,0.3883234647704625,2.582848355531237,0.009798838253061493,0.9998318099632417
DIDO1,6.258230701819699,-1.1978378394774896,0.5219910329326282,-2.294747924591438,0.021747574575202704,0.9998318099632417
METRN,2.759029172089006,-1.4407783180173068,0.7029480923910676,-2.0496226301952403,0.04040127032742143,0.9998318099632417
