gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CIAPIN1,4.808095714467112,0.9984954066664088,0.43734504044607775,2.2830838681695713,0.022425428611351845,0.9990387316455156
PRKAR2B,1.1266571392031417,2.4937024461361417,1.0480531408300358,2.379366416631491,0.017342427498839193,0.9990387316455156
ITGA2B,1.0220641053666533,3.4812469318356123,1.2474701892357563,2.7906453892644487,0.005260306919220471,0.9990387316455156
TRAF3IP3,39.534837325288755,-0.710743036225476,0.2335056296670017,-3.0437940071896947,0.002336150431628138,0.9990387316455156
CD9,0.9556495576158603,3.3589248051845106,1.1553568836755146,2.907261689131784,0.00364608039251313,0.9990387316455156
PSMA4,13.534421171881805,0.5831328255436277,0.25345676275413853,2.3007191412339068,0.021407511440913716,0.9990387316455156
MED17,7.588453666776852,-0.7634698951470165,0.3841024946123933,-1.9876723162588452,0.046847942580185646,0.9990387316455156
NOP16,4.6304791982196365,1.262597168665963,0.5394453850939416,2.340546797793234,0.019255525053517495,0.9990387316455156
PRDM1,13.738733910431913,1.5441194789571897,0.6030825785986931,2.5603781865910724,0.010455831149672372,0.9990387316455156
SLC2A3,22.370797475857604,0.9766230362833419,0.4919031335420606,1.9853970623259607,0.04710031256159873,0.9990387316455156
YBX3,9.757689255211295,1.258736109679721,0.5964128091643622,2.110511528824044,0.03481431919521806,0.9990387316455156
SBNO2,8.02227378762794,1.5964080320671852,0.6276126808679734,2.543619784513262,0.010971043306670114,0.9990387316455156
MTHFD2,4.99487099784824,1.616236325231217,0.4991729118498893,3.237828589779827,0.001204431507376073,0.9845132635065418
BCL3,7.644076960331592,1.5214373418801999,0.6166166190764922,2.467395939082633,0.013609977355673009,0.9990387316455156
NCK2,41.35499610667168,0.37874019836507716,0.17538216666606837,2.159513738282223,0.03081033266687773,0.9990387316455156
SPEG,0.6956884376745801,4.142960091614699,1.5252883865443168,2.7161814960126733,0.006603970378700972,0.9990387316455156
MGLL,0.4562952897573086,4.624918784625301,1.6936379211654637,2.7307600561061474,0.006318845805795641,0.9990387316455156
APBB1IP,16.096426012305386,-0.7704777750947319,0.31597083658235137,-2.4384458497134833,0.014750568482432792,0.9990387316455156
STK17B,81.39258614611316,0.742344940467236,0.2580713806091839,2.876510129542115,0.004020992894294392,0.9990387316455156
FYB1,100.53268748978002,-0.4393453215420765,0.2055585415940323,-2.1373245700962467,0.03257160178573887,0.9990387316455156
AK6,9.311415163578156,1.0996893434860644,0.46145018210392164,2.383116067854118,0.017166780803645115,0.9990387316455156
TMEM40,0.7386675051469055,3.38927003862494,1.4530855310986737,2.332464239776941,0.019676282046522334,0.9990387316455156
RGS1,7.129348103617555,2.027207453479769,0.7656780794128629,2.647597610518342,0.008106595305663995,0.9990387316455156
PTGS1,0.44111118309220315,3.992564386811136,1.7096125100547106,2.335362173199918,0.019524508751865535,0.9990387316455156
FKBP5,23.046442649917417,0.7340596429383414,0.33771869999671844,2.1735830528350193,0.02973646229604262,0.9990387316455156
HSP90AB1,158.6651159282767,0.5015017384641282,0.21820560482304874,2.298299069223337,0.021544773399469242,0.9990387316455156
