"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"106","FOXJ2",7.44871962047395,1.12279056150372,0.532556193756663,2.10830439053488,0.035004668425858,0.261886778593456
"107","PPP2R5A",30.55937430496,-0.705825930216171,0.272809241333647,-2.58725080853453,0.00967451441844735,0.159390682003922
"108","ELOVL1",16.4239605711094,-0.634556358644171,0.318624336731957,-1.9915501909008,0.0464204330671772,0.29456316689748
"109","LRRC40",15.0717043061931,1.17917701986802,0.489891732343053,2.4070155546987,0.0160834848195249,0.197094408668392
"110","RHOA",224.231422835614,-0.561546436650654,0.186733065945777,-3.00721478441165,0.00263653405571597,0.0813394724679793
"111","IFI35",23.1327105107993,-1.0547213854518,0.487352303045207,-2.16418672664806,0.0304500215653888,0.246714335770818
"112","COASY",17.4157960818576,-0.826602706776714,0.381888404900839,-2.16451375891172,0.0304249417963009,0.246714335770818
"113","INPP5A",4.79717221565308,1.77081752556539,0.778342595452364,2.27511321609761,0.0228991390528038,NA
"114","SIRT2",23.2077810729122,-0.65067099697821,0.301069698766279,-2.16119722324938,0.0306801078278128,0.246954492230706
"115","MAST4",13.2828950214246,0.752895911350609,0.367401927066147,2.0492432289694,0.0404383368901339,0.280981859275918
"116","NUCKS1",154.353771239188,0.468456074778874,0.220015656297043,2.12919427036779,0.0332381907555985,0.255659846210786
"117","KCNAB2",29.7286976500639,-0.587772603903354,0.266397151585549,-2.20637720938469,0.0273575994174164,0.239648293229833
"118","ATP1B3",48.3320800413278,-0.649528843812109,0.307231890773652,-2.11413223469903,0.0345039747013045,0.260437474524793
"119","PIGB",8.07287904403222,1.34304643576999,0.554807754687377,2.42074200373563,0.0154888657405498,0.192962609313987
"120","SMG6",31.8764269918154,0.641312112244582,0.299031069744172,2.14463370911002,0.0319821449175726,0.251316836288562
"121","GBA2",4.78293996216738,-1.20397559432036,0.532225154456742,-2.26215462429485,0.0236878516842065,NA
"122","RPL31",916.386912561872,0.48404573980888,0.218565436379783,2.21464906723767,0.0267841613315118,0.237507426369713
